Carimbo de data/hora;Gênero? ;Idade?;Estado Civil?;Quantos filhos possui?;Qual é o seu grau de escolaridade ?;Qual sua graduação?;Há quanto tempo você é militar?;Na área de qual Distrito Naval você servia antes do curso?;Quantas pessoas residem com você?;Quantas pessoas residem com você contribuem para o orçamento familiar?;Quantas pessoas não residem na mesma casa contribuem para o orçamento?;Até que parcela do orçamento essas pessoas que não residem contribuem?;Você contribui financeiramente com outra pessoa que não mora com você?;Até que parcela do orçamento você contribui  com pessoas que não residem na mesma casa que você?;Quantos cartões de crédito você possui?;Quantas contas bancárias você mantém?;Você investe/poupa parte do seu salário?;Que parte dessa quantia poupada fica em caderneta de poupança?;Por qual motivo você poupa parte do seu salário?;Você tem o hábito de anotar seus gastos?;Você conhece ferramentas que auxiliam no planejamento financeiro pessoal?;Quantas vezes você já deixou de pagar o valor total do cartão de crédito ou utilizou o cheque especial?;Você já pegou algum empréstimo em instituição financeira?;Você tem algum tipo de dívida (empréstimos, financiamentos, rotativo do cartão)?;Qual parte do seu orçamento está comprometido com dívidas acima de 12 meses?;Durante a Infância/adolescência alguém conversou com você sobre poupança, investimentos e demais assuntos ligados às finanças pessoais?;De quantas palestras sobre educação financeira ministradas pela Marinha você já participou?;Onde você adquiriu a maior parte dos seus conhecimentos para gerir o seu dinheiro?;Como você classificaria sua segurança em relação aos seus conhecimentos?
8/4/2018 15:28:09;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;2;0;0;;1;;1;2;10%;0%;Para certas emergências, Outros fins;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Construir/ comprar a casa própria;Não tenho dívidas pessoais;0%;Não;2;Na internet;Satisfatório
8/4/2018 15:30:12;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;0;0;;0;;2;1;0%;0%;;Diariamente  e analiso para planejar-me;Não;0;Outro;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;0;Da minha experiência prática;Satisfatório
8/4/2018 15:38:24;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;2;0;0;;0;;1;1;10%;10%;Outros fins;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;0%;Sim;2;Em casa com a família;Satisfatório
8/4/2018 15:40:24;Masculino;De 26 a 30 anos;Casado (a)/União Estável;3;Ensino Médio Completo;Cabo;Mais de 10 anos;3;4 ou mais;0;0;;0;;1;2;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;1;Pagar uma dívida;Acima de 24 meses com prestação em dia.;0%;Sim;4 ou mais;Em casa com a família;Satisfatório
8/4/2018 15:43:02;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;2;1;1;20%;0;;2;2;0%;0%;;Não registro;Não;4 ou mais;Comprar carro/moto, Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Da minha experiência prática;Moderada
8/4/2018 15:46:06;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;1;2;0;;0;;1;1;0%;0%;;Não registro;Conheço mas não utilizo;2;;Acima de 24 meses com prestação em dia.;30%;Não;1;Em revistas, livros, TV e rádio;Moderada
8/4/2018 15:48:01;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Mais de 10 anos;9;2;2;1;;0;;0;1;0%;0%;;Diariamente  e analiso para planejar-me;Não;4 ou mais;Comprar carro/moto;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;4 ou mais;Em casa com a família;Satisfatório
8/4/2018 15:52:13;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;6;2;0;0;;1;15%;1;1;0%;0%;;Não registro;Não;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;20%;Sim;1;Em palestras ministradas na Marinha;Inseguro
8/4/2018 15:53:50;Masculino;De 26 a 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;2;0;;0;;1;2;10%;10%;Para certas emergências;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Construir/ comprar a casa própria, Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Sim;3;Em conversa com amigos;Moderada
8/4/2018 15:56:23;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;1;0;0;;0;;2;3;20%;20%;Para certas emergências, Outros fins;Diariamente  e analiso para planejar-me;Não;0;Outro;Abaixo de 24 meses com dificuldade em liquidar;20%;Sim;2;Em casa com a família;Satisfatório
8/4/2018 15:58:42;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;4 ou mais;4 ou mais;1;20%;0;;1;1;30%;30%;Comprar minha casa, Para certas emergências;Diariamente  e analiso para planejar-me;Não;0;Construir/ comprar a casa própria;Abaixo de 24 meses com dificuldade em liquidar;20%;Sim;4 ou mais;Em casa com a família;Moderada
8/4/2018 16:03:53;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;2;0;1;50%;1;20%;1;3;0%;0%;Outros fins;Não registro;Não;0;Outro;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;4 ou mais;Da minha experiência prática;Inseguro
8/4/2018 16:05:45;Masculino;De 26 a 30 anos;Casado (a)/União Estável;2;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;3;1;0;;0;;1;2;0%;0%;Outros fins;Não registro;Não;1;Comprar carro/moto;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Em revistas, livros, TV e rádio;Moderada
8/4/2018 16:09:37;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Entre 8 e 10 anos;1;1;0;0;;2;10%;1;2;10%;0%;Para certas emergências;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;4 ou mais;Outro;Não tenho dívidas pessoais;0%;Não;4 ou mais;Da minha experiência prática;Moderada
8/4/2018 16:11:31;Masculino;Acima de 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;1;1;0;;0;;2;2;20%;10%;Para certas emergências;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;2;Nunca;Acima de 24 meses com prestação em dia.;30%;Não;0;Na internet;Satisfatório
8/4/2018 16:13:34;Masculino;Acima de 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;3;1;0;;1;;1;1;10%;10%;Outros fins;Diariamente  e analiso para planejar-me;Não;0;Construir/ comprar a casa própria;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;2;Da minha experiência prática;Moderada
8/4/2018 16:15:43;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Cabo;Mais de 10 anos;1;2;0;0;;1;10%;1;1;0%;0%;;Não registro;Conheço mas não utilizo;4 ou mais;Comprar carro/moto;Abaixo de 24 meses com prestação em dia;10%;Sim;2;Da minha experiência prática;Moderada
8/4/2018 16:17:59;Masculino;De 26 a 30 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Cabo;Mais de 10 anos;4;1;0;0;;1;;1;1;10%;0%;Comprar minha casa, Para certas emergências, Outros fins;Raramente e não analiso os grupos;Conheço mas não utilizo;4 ou mais;Comprar carro/moto;Acima de 24 meses com prestação em dia.;20%;Sim;0;Em casa com a família, Em conversa com amigos, Em revistas, livros, TV e rádio, Na internet, Da minha experiência prática;Satisfatório
8/4/2018 16:19:58;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;0;;0;;2;2;0%;0%;;Não registro;Não;2;Nunca;Acima de 24 meses com prestação em dia.;30%;Não;3;Em casa com a família, Em conversa com amigos, Em revistas, livros, TV e rádio, Na internet, Da minha experiência prática, Em palestras ministradas na Marinha;Moderada
8/4/2018 16:22:23;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;4;1;1;0;;0;;1;2;0%;0%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Comprar carro/moto;Não tenho dívidas pessoais;0%;Não;4 ou mais;Em casa com a família, Em revistas, livros, TV e rádio;Satisfatório
8/4/2018 16:24:24;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Completo;Cabo;Mais de 10 anos;1;1;1;0;;0;;1;1;10%;0%;Outros fins;Não registro;Sim. Já utilizei por algum tempo;1;Pagar uma dívida;Abaixo de 24 meses com dificuldade em liquidar;20%;Sim;4 ou mais;Em aulas na universidade;Satisfatório
8/4/2018 16:29:59;Masculino;De 26 a 30 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Cabo;Mais de 10 anos;1;1;1;1;30%;0;;1;1;20%;0%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Nunca;Não tenho dívidas pessoais;0%;Sim;1;Em casa com a família, Em palestras ministradas na Marinha;Moderada
8/4/2018 16:32:03;Masculino;De 26 a 30 anos;Casado (a)/União Estável;2;Ensino Superior Incompleto;Cabo;Mais de 10 anos;2;4 ou mais;0;0;;0;;1;2;0%;0%;;Diariamente  e analiso para planejar-me;Utilizo e são muito úteis para a minha vida;4 ou mais;;Abaixo de 24 meses com dificuldade em liquidar;10%;Não;3;Em revistas, livros, TV e rádio, Da minha experiência prática, Em palestras ministradas na Marinha;Moderada
8/4/2018 16:35:00;Masculino;Acima de 30 anos;Solteiro (a);0;Ensino Médio Completo;Cabo;Entre 8 e 10 anos;1;2;0;0;;0;;0;1;0%;0%;;Não registro;Conheço mas não utilizo;4 ou mais;Comprar carro/moto;Não tenho dívidas pessoais;20%;Não;0;Da minha experiência prática;Moderada
8/4/2018 17:27:21;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;3;0;;0;;2;2;20%;10%;Comprar carro/moto;Raramente e não analiso os grupos;Sim. Já utilizei por algum tempo;2;;Acima de 24 meses com dificuldade em liquidar;30%;Sim;3;Em aulas na universidade;Moderada
8/4/2018 17:29:12;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;4;1;0;0;;1;20%;1;1;10%;10%;Para certas emergências;Raramente e não analiso os grupos;Conheço mas não utilizo;3;Construir/ comprar a casa própria;Abaixo de 24 meses com prestação em dia;Mais de 30%;Não;0;Da minha experiência prática;Moderada
8/4/2018 17:32:05;Masculino;De 21 a 25 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;5;4 ou mais;4 ou mais;0;;2;30%;1;1;0%;0%;;Raramente e não analiso os grupos;Não;4 ou mais;Outro;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;2;Da minha experiência prática;Moderada
8/4/2018 17:33:49;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;1;0;;0;;0;2;0%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Nunca;Não tenho dívidas pessoais;0%;Não;4 ou mais;Da minha experiência prática;Satisfatório
8/4/2018 17:35:30;Masculino;De 21 a 25 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;6;1;0;0;;1;;1;1;10%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;Construir/ comprar a casa própria;Abaixo de 24 meses com prestação em dia;30%;Sim;4 ou mais;Em casa com a família;Moderada
8/4/2018 17:39:24;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;5;0;0;0;;0;;3;3;0%;0%;;Não registro;Conheço mas não utilizo;2;Pagar uma dívida;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Não;1;Em conversa com amigos;Satisfatório
8/4/2018 17:41:26;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;4 ou mais;4 ou mais;20%;2;25%;0;1;0%;0%;;Não registro;Não;4 ou mais;Pagar uma dívida;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Não;3;Da minha experiência prática;Inseguro
8/4/2018 17:43:11;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;1;0;;0;;2;1;0%;0%;;Diariamente  e analiso para planejar-me;Não;4 ou mais;Outro;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Não;0;Na internet;Inseguro
8/4/2018 17:44:48;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;2;0;0;0;;0;;2;2;0%;0%;;Não registro;Não;4 ou mais;Outro;Abaixo de 24 meses com dificuldade em liquidar;30%;Não;1;Na internet;Moderada
8/4/2018 17:47:49;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;2;0;0;;3;30%;1;1;0%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Outro;Abaixo de 24 meses com prestação em dia;10%;Não;2;Em casa com a família;Moderada
8/4/2018 17:49:42;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;4;2;1;0;;1;20%;1;1;10%;10%;Para certas emergências;Não registro;Conheço mas não utilizo;4 ou mais;Nunca;Não tenho dívidas pessoais;0%;Sim;2;Em casa com a família, Em palestras ministradas na Marinha;Moderada
8/4/2018 17:51:42;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;3;0;0;;0;;0;1;0%;0%;;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;0;Outro;Acima de 24 meses com prestação em dia.;30%;Não;1;Da minha experiência prática;Moderada
8/4/2018 17:53:54;Masculino;De 21 a 25 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;1;0;;0;;1;3;0%;0%;;Não registro;Não;4 ou mais;Comprar carro/moto, Construir/ comprar a casa própria, Pagar uma dívida;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Não;0;Da minha experiência prática;Inseguro
8/4/2018 17:56:03;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;9;0;0;0;;1;10%;1;1;10%;10%;Comprar minha casa, Outros fins;Não registro;Não;4 ou mais;Nunca;Não tenho dívidas pessoais;10%;Não;1;Em conversa com amigos, Da minha experiência prática;Inseguro
8/4/2018 17:58:39;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;3;1;0;;0;;3;2;20%;20%;Comprar minha casa, Para certas emergências;Diariamente  e analiso para planejar-me;Sim. Já utilizei por algum tempo;1;Outro;Acima de 24 meses com prestação em dia.;10%;Sim;0;Em casa com a família;Satisfatório
8/4/2018 18:00:43;Masculino;De 21 a 25 anos;Casado (a)/União Estável;0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;3;0;0;;4 ou mais;20%;0;2;0%;0%;;Raramente e não analiso os grupos;Não;4 ou mais;Comprar carro/moto;Acima de 24 meses com dificuldade em liquidar;Mais de 30%;Não;1;Em casa com a família;Inseguro
8/4/2018 18:02:46;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;3;2;0;;0;;1;2;0%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;4 ou mais;Nunca;Não tenho dívidas pessoais;0%;Sim;2;Em revistas, livros, TV e rádio;Moderada
8/4/2018 18:04:35;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;2;2;0;;0;;0;1;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;1;Outro;Acima de 24 meses com prestação em dia.;0%;Não;2;Em palestras ministradas na Marinha;Moderada
8/4/2018 18:06:21;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;5;3;2;0;;0;;1;1;0%;0%;;Não registro;Conheço mas não utilizo;2;Pagar uma dívida;Não tenho dívidas pessoais;0%;Sim;2;Da minha experiência prática;Moderada
8/4/2018 18:08:26;Masculino;De 21 a 25 anos;Casado (a)/União Estável;1;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;3;0;;0;;1;2;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;0;Outro;Abaixo de 24 meses com prestação em dia;10%;Sim;0;Da minha experiência prática;Moderada
8/4/2018 18:12:36;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;1;1;0;;0;;1;1;10%;10%;Outros fins;Não registro;Não;4 ou mais;Outro;Abaixo de 24 meses com prestação em dia;20%;Não;1;Da minha experiência prática;Moderada
8/4/2018 18:14:38;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;6;1;0;0;;0;;2;1;10%;0%;Outros fins;Não registro;Não;0;Outro;Não tenho dívidas pessoais;0%;Não;1;Da minha experiência prática;Moderada
8/4/2018 18:16:37;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;1;4 ou mais;2;3;;0;;2;2;0%;0%;;Não registro;Não;0;Pagar uma dívida;Acima de 24 meses com prestação em dia.;Mais de 30%;Sim;2;Da minha experiência prática;Satisfatório
8/4/2018 18:18:47;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;5;4 ou mais;3;0;;0;;0;2;10%;0%;Outros fins;Não registro;Conheço mas não utilizo;3;Comprar carro/moto;Acima de 24 meses com prestação em dia.;20%;Sim;4 ou mais;Em casa com a família;Satisfatório
8/4/2018 18:20:41;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;1;3;0;0;;1;30%;1;1;Mais de 30%;0%;;Diariamente  e analiso para planejar-me;Conheço mas não utilizo;0;;Acima de 24 meses com prestação em dia.;10%;Sim;0;Em casa com a família;Satisfatório
8/4/2018 18:24:37;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;4;3;2;0;;0;;0;1;0%;0%;;Raramente e não analiso os grupos;Não;3;Nunca;Não tenho dívidas pessoais;0%;Sim;1;Da minha experiência prática;Inseguro
8/4/2018 18:26:55;Masculino;De 21 a 25 anos;Solteiro (a);0;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;5;3;2;0;;0;;1;2;0%;0%;;Raramente e não analiso os grupos;Conheço mas não utilizo;0;;Acima de 24 meses com prestação em dia.;Mais de 30%;Não;0;Da minha experiência prática;Satisfatório
8/4/2018 18:31:05;Masculino;De 21 a 25 anos;Casado (a)/União Estável;1;Ensino Médio Completo;Marinheiro;Entre 2 e 5 anos;4;2;0;0;;0;;1;1;Mais de 30%;Mais de 30%;Para certas emergências;Não registro;Não;1;Outro;Abaixo de 24 meses com prestação em dia;0%;Não;0;Em casa com a família;Moderada
8/4/2018 18:33:06;Masculino;De 21 a 25 anos;Casado (a)/União Estável;0;Ensino Superior Incompleto;Marinheiro;Entre 2 e 5 anos;5;3;0;0;;1;30%;1;2;10%;10%;Para certas emergências;Não registro;Conheço mas não utilizo;1;Pagar uma dívida;Acima de 24 meses com prestação em dia.;20%;Sim;2;Em casa com a família;Moderada
